UnitID,Institution Name,ShortHandName,Early Career Pay,Mid-Career Pay,Total price for in-district students living on campus  2015-16 (DRVIC2015),Professors (S2014_SIS_RV  With faculty status  tenured),Associate professors (S2014_SIS_RV  With faculty status  tenured),Assistant professors (S2014_SIS_RV  With faculty status  on tenure track),Average salary equated to 9 months of full-time instructional staff - professors (DRVHR2014_RV),Average salary equated to 9 months of full-time instructional staff - associate professors (DRVHR2014_RV),Average salary equated to 9 months of full-time instructional staff - assistant professors (DRVHR2014_RV),Percent admitted - men (DRVADM2014_RV),Percent admitted - women (DRVADM2014_RV),Percent admitted - total (DRVADM2014_RV),Full-time retention rate  2014 (EF2014D_RV),Student-to-faculty ratio (EF2014D_RV),Percent of total enrollment that are women (DRVEF2014_RV),Total  enrollment (DRVEF2014_RV),Graduation rate  total cohort (DRVGR2014_RV),Percent of full-time first-time undergraduates awarded Pell grants (SFA1314_RV)
110422,California Polytechnic State University-San Luis Obispo,CalPoly,81200,134000,25414,275,172,142,94230,77328,70245,27,35,31,93,22,46,20186,75,13
110538,California State University-Chico,CSU-Chico,57700,134000,23496,216,98,80,88164,69093,66051,69,73,71,87,26,53,17287,59,42
110574,California State University-East Bay,CSUEB,76700,128000,23487,122,94,63,94194,79074,70353,67,72,70,81,27,62,14823,38,58
211440,Carnegie Mellon University,CMU,100000,125000,65895,362,96,144,154584,108207,105525,22,28,25,96,10,38,12587,88,14
190150,Columbia University in the City of New York,Columbia,87400,132000,69084,888,184,389,201411,137673,113913,8,6,7,96,6,51,27589,95,16
190549,CUNY Brooklyn College,CUNY,61200,125000,27737,205,132,111,83979,66420,55953,35,36,35,82,14,60,17390,50,58
166683,Massachusetts Institute of Technology,MIT,99800,135000,63250,643,116,167,195282,132579,113940,6,13,8,99,8,37,11319,91,18
171128,Michigan Technological University,MTU,61200,125000,27677,106,123,106,110097,88614,76032,75,76,76,85,13,26,7099,64,25
180461,Montana State University,MSU ,61400,126000,20099,175,143,149,95364,72081,67779,80,87,84,76,19,46,14982,50,27
193900,New York University,NYU,78100,132000,68400,1027,481,334,194553,113760,109584,37,35,35,92,10,55,49274,83,23
147767,Northwestern University,Northwestern,78100,138000,68060,711,282,269,186840,120249,106767,13,13,13,97,7,47,21554,93,15
122597,San Francisco State University,SFSU,63700,125000,24648,301,190,130,98019,81360,74790,63,68,66,84,24,57,29465,50,47
122755,San Jose State University,SJSU,84000,140000,26227,303,169,101,94941,77976,74115,57,62,60,87,27,50,32713,52,43
243744,Stanford University,Stanford,99500,168000,64477,849,237,306,220338,140940,120420,5,5,5,98,10,41,16963,95,15
110635,University of California-Berkeley,Berkeley,93200,142000,35255,834,309,210,169569,113427,101385,15,17,16,96,17,50,37565,91,24
110644,University of California-Davis,UCDavis,83200,132000,34377,905,278,196,135000,94239,82899,36,44,40,93,18,57,34508,83,37
110680,University of California-San Diego,UCSD,81300,128000,31466,743,230,166,152073,99270,90666,34,33,33,95,19,46,30709,86,32
110705,University of California-Santa Barbara,UCSB ,72800,144000,35203,511,159,82,152334,93447,82206,34,39,36,92,17,52,23051,81,36
130943,University of Delaware,UDel,66000,139000,26650,379,278,163,143433,100521,85041,64,71,68,91,15,56,22680,79,16
174066,University of Minnesota-Twin Cities,UMinn ,67100,129000,26304,1098,650,410,131832,92169,80667,43,47,45,92,17,52,51147,78,21
168421,Worcester Polytechnic Institute,WPI,83500,134000,61200,95,82,63,145287,105885,93789,40,54,44,97,14,31,6381,85,14
