Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
1/2/19,157.919998,95.68,323.809998,126.379997,42.950001,110.690002,108.970001,77.596664,172.029999,172.410004,115.209999,47.080002,127.75,127.75,46.93,176.059998,190.949997,75.589996,101.120003,74.059998,43.25,91.279999,117.370003,243.490005,108.300003,132.919998,56.02,68.040001,93.339996,69.690002
1/3/19,142.190002,93.43,310.899994,121.510002,41.07,108.57,106.330002,74.735893,169.509995,168.610001,112.910004,44.490002,125.720001,125.720001,46.639999,174.899994,183.759995,74.040001,97.400002,72.75,42.040001,90.639999,115.260002,236.850006,103.480003,128.130005,56.220001,67.330002,92.860001,68.620003
1/4/19,148.259995,97.639999,327.079987,128.149994,42.919998,110.82,109.610001,77.895554,175.050003,173.619995,117.32,47.220001,127.830002,127.830002,47.57,178.279999,191.320007,76.269997,101.93,74.650002,43,92.489998,118.68,239.619995,107.019997,133.649994,56.360001,69.57,93.440002,71.150002
1/7/19,147.929993,98.169998,328.109985,128.229996,43.209999,112.260002,110.559998,77.938248,176.020004,177.039993,118.150002,47.439999,127.010002,127.010002,46.950001,180.220001,190.880005,75.43,102.059998,75.720001,43.23,92.120003,118.300003,240.080002,106.970001,136.059998,56.720001,69.970001,94.540001,71.519997
1/8/19,150.75,98.650002,340.529999,129.770004,43.560001,111.769997,111.419998,78.834915,175.369995,177.889999,119.830002,47.740002,129.960007,129.960007,47.48,180.600006,191.679993,75.989998,102.800003,76.730003,43.43,92.459999,117.839996,243.289993,108.900002,136.800003,58.380001,71.370003,95.199997,72.040001
1/9/19,153.309998,98.830002,343.829987,130.270004,43.32,113.269997,112.669998,79.162262,176.470001,179.729996,120.690002,48.009998,128.929993,128.929993,46.57,180.289993,192.300003,75.410004,104.269997,76.589996,43.34,90.949997,118.68,243.639999,109.32,138.410004,57.049999,72.230003,94.889999,72.419998
1/10/19,153.800003,98.260002,352.609985,132.960007,43.240002,113.449997,112.800003,79.247658,176,179.059998,121.790001,48.560001,129.710007,129.710007,47.07,181.550003,193.600006,74.480003,103.599998,76.419998,42.310001,91.169998,120.269997,244.869995,110.410004,138.669998,57.599998,72.480003,94.959999,72.050003
1/11/19,152.289993,98.550003,352.899994,132.100006,43.490002,112.540001,112.650002,78.678352,176.929993,179.410004,121.459999,48.93,129.75,129.75,47.34,182.369995,192.210007,74.900002,102.800003,76.040001,42.880001,91.769997,120.470001,247.669998,109.949997,138.059998,58.02,71.709999,94.839996,71.720001
1/14/19,150,98.440002,350.359985,131.800003,43.209999,111.720001,112.419998,78.820679,178.720001,178.809998,120.389999,48.349998,128.279999,128.279999,47.150002,181.220001,192.169998,73.370003,102.050003,76.089996,42.369999,91.150002,120.580002,248.059998,110.849998,137.100006,58.029999,70.650002,94.949997,71.629997
1/15/19,153.070007,97.989998,352.23999,130.690002,44.02,112.120003,111.760002,78.294067,179.910004,176.470001,121.730003,48.599998,129.360001,129.360001,47.57,181.020004,188.940002,74.5,105.010002,77.879997,42.73,92.010002,121.82,256.869995,111.059998,137.339996,58.099998,71.790001,96.25,71.669998
