Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT,PFE,RTX,XOM
1/2/20,75.087502,125.849998,333.320007,150.529999,48.419998,121.43,148.199997,53.75,234.320007,219.660004,135.419998,60.84,145.970001,141.089996,54.990002,200.789993,180,92.040001,160.619995,102.199997,123.410004,137.509995,292.5,191.119995,61.049999,59.080002,118.940002,37.134724,96.375076,70.900002
1/3/20,74.357498,124.599998,332.76001,148.440002,47.630001,121.010002,146.5,52.419998,231.580002,218.929993,134.339996,60.099998,144.279999,138.339996,54.689999,200.080002,178.449997,91.25,158.619995,101.919998,122.580002,137.020004,289.540009,189.600006,60.400002,59.080002,117.889999,36.935486,96.50724,70.330002
1/6/20,74.949997,124.059998,333.73999,148.339996,47.799999,120.599998,145.649994,52.209999,233.949997,219.960007,134.100006,59.93,144.100006,138.229996,54.669998,202.330002,178.619995,91.639999,159.029999,101.830002,122.75,137.169998,291.549988,189.190002,60.27,59.59,117.650002,36.888046,96.714912,70.870003
1/7/20,74.597504,123.410004,337.279999,146.380005,47.490002,119.059998,145.699997,52.189999,235.490005,218.520004,134.190002,58.93,144.979996,135.880005,54.25,202.630005,177.899994,89.199997,157.580002,101.779999,121.989998,135.160004,289.790009,188.690002,59.599998,59.290001,116.559998,36.764706,96.406548,70.290001
1/8/20,75.797501,125.540001,331.369995,147.679993,47.52,117.699997,145.399994,52.73,237.759995,221.789993,135.309998,58.970001,144.960007,136.940002,54.349998,205.910004,180.630005,88.599998,160.089996,101.550003,122.510002,136.610001,295.899994,191.919998,59.709999,55.830002,116.160004,37.058823,96.551292,69.230003
1/9/20,77.407501,127.809998,336.339996,147.309998,47.32,117.510002,144.830002,52.189999,242.600006,225.190002,136.740005,59.299999,145.389999,137.440002,55.34,208.350006,181.199997,89.379997,162.089996,101.480003,123.849998,137.619995,294.220001,193.25,58.849998,54.68,117.360001,36.897533,96.696037,69.760002
1/10/20,77.582497,127.279999,329.920013,146.130005,47.130001,116.440002,144.619995,51.5,242.110001,224.220001,136.690002,58.939999,145.059998,136.070007,55.529999,207.270004,180.470001,89.529999,161.339996,100.900002,123.970001,135.509995,295.130005,193.770004,58.990002,54.220001,116.379997,37.466793,95.569542,69.139999
1/13/20,79.239998,128.539993,330.220001,146.820007,47.970001,116.660004,143.880005,52.349998,245.210007,223.339996,136.600006,59.59,145.699997,137.199997,56.130001,206.509995,180.919998,89.510002,163.279999,102.160004,124.879997,136.259995,285.850006,195.330002,59.150002,54.060001,115.879997,37.390892,95.68911,69.800003
1/14/20,78.169998,128.800003,332.350006,146.679993,47.790001,116.300003,145.199997,52.240002,245.660004,222.809998,135.820007,59.43,146.520004,138.800003,56,207.320007,181.369995,89.93,162.130005,102.919998,124.690002,136.649994,288.23999,196.050003,59.040001,54.619999,116.18,38.017078,95.368156,69.199997
1/15/20,77.834999,129.820007,329.799988,145.570007,48.009998,116.129997,144.320007,52.27,245.210007,224.589996,136.619995,58.939999,147.009995,136.720001,56.700001,209.770004,179.779999,91.540001,163.179993,102.790001,125.959999,137.570007,296.410004,199.800003,59.099998,54.43,115.279999,38.586338,95.632477,69.089996
